info_I,visibility_V,x,intensity,landauer_energy_j
0.250000,0.968246,0.000000,0.98412292,7.177447212697e-22
0.250000,0.968246,0.025000,0.97816256,7.177447212697e-22
0.250000,0.968246,0.050000,0.96042826,7.177447212697e-22
0.250000,0.968246,0.075000,0.93135668,7.177447212697e-22
0.250000,0.968246,0.100000,0.89166367,7.177447212697e-22
0.250000,0.968246,0.125000,0.84232660,7.177447212697e-22
0.250000,0.968246,0.150000,0.78456031,7.177447212697e-22
0.250000,0.968246,0.175000,0.71978721,7.177447212697e-22
0.250000,0.968246,0.200000,0.64960221,7.177447212697e-22
0.250000,0.968246,0.225000,0.57573351,7.177447212697e-22
0.250000,0.968246,0.250000,0.50000000,7.177447212697e-22
0.250000,0.968246,0.275000,0.42426649,7.177447212697e-22
0.250000,0.968246,0.300000,0.35039779,7.177447212697e-22
0.250000,0.968246,0.325000,0.28021279,7.177447212697e-22
0.250000,0.968246,0.350000,0.21543969,7.177447212697e-22
0.250000,0.968246,0.375000,0.15767340,7.177447212697e-22
0.250000,0.968246,0.400000,0.10833633,7.177447212697e-22
0.250000,0.968246,0.425000,0.06864332,7.177447212697e-22
0.250000,0.968246,0.450000,0.03957174,7.177447212697e-22
0.250000,0.968246,0.475000,0.02183744,7.177447212697e-22
0.250000,0.968246,0.500000,0.01587708,7.177447212697e-22
0.250000,0.968246,0.525000,0.02183744,7.177447212697e-22
0.250000,0.968246,0.550000,0.03957174,7.177447212697e-22
0.250000,0.968246,0.575000,0.06864332,7.177447212697e-22
0.250000,0.968246,0.600000,0.10833633,7.177447212697e-22
0.250000,0.968246,0.625000,0.15767340,7.177447212697e-22
0.250000,0.968246,0.650000,0.21543969,7.177447212697e-22
0.250000,0.968246,0.675000,0.28021279,7.177447212697e-22
0.250000,0.968246,0.700000,0.35039779,7.177447212697e-22
0.250000,0.968246,0.725000,0.42426649,7.177447212697e-22
0.250000,0.968246,0.750000,0.50000000,7.177447212697e-22
0.250000,0.968246,0.775000,0.57573351,7.177447212697e-22
0.250000,0.968246,0.800000,0.64960221,7.177447212697e-22
0.250000,0.968246,0.825000,0.71978721,7.177447212697e-22
0.250000,0.968246,0.850000,0.78456031,7.177447212697e-22
0.250000,0.968246,0.875000,0.84232660,7.177447212697e-22
0.250000,0.968246,0.900000,0.89166367,7.177447212697e-22
0.250000,0.968246,0.925000,0.93135668,7.177447212697e-22
0.250000,0.968246,0.950000,0.96042826,7.177447212697e-22
0.250000,0.968246,0.975000,0.97816256,7.177447212697e-22
0.250000,0.968246,1.000000,0.98412292,7.177447212697e-22
0.300000,0.953939,0.000000,0.97696960,8.612936655236e-22
0.300000,0.953939,0.025000,0.97109731,8.612936655236e-22
0.300000,0.953939,0.050000,0.95362505,8.612936655236e-22
0.300000,0.953939,0.075000,0.92498303,8.612936655236e-22
0.300000,0.953939,0.100000,0.88587651,8.612936655236e-22
0.300000,0.953939,0.125000,0.83726844,8.612936655236e-22
0.300000,0.953939,0.150000,0.78035570,8.612936655236e-22
0.300000,0.953939,0.175000,0.71653967,8.612936655236e-22
0.300000,0.953939,0.200000,0.64739171,8.612936655236e-22
0.300000,0.953939,0.225000,0.57461448,8.612936655236e-22
0.300000,0.953939,0.250000,0.50000000,8.612936655236e-22
0.300000,0.953939,0.275000,0.42538552,8.612936655236e-22
0.300000,0.953939,0.300000,0.35260829,8.612936655236e-22
0.300000,0.953939,0.325000,0.28346033,8.612936655236e-22
0.300000,0.953939,0.350000,0.21964430,8.612936655236e-22
0.300000,0.953939,0.375000,0.16273156,8.612936655236e-22
0.300000,0.953939,0.400000,0.11412349,8.612936655236e-22
0.300000,0.953939,0.425000,0.07501697,8.612936655236e-22
0.300000,0.953939,0.450000,0.04637495,8.612936655236e-22
0.300000,0.953939,0.475000,0.02890269,8.612936655236e-22
0.300000,0.953939,0.500000,0.02303040,8.612936655236e-22
0.300000,0.953939,0.525000,0.02890269,8.612936655236e-22
0.300000,0.953939,0.550000,0.04637495,8.612936655236e-22
0.300000,0.953939,0.575000,0.07501697,8.612936655236e-22
0.300000,0.953939,0.600000,0.11412349,8.612936655236e-22
0.300000,0.953939,0.625000,0.16273156,8.612936655236e-22
0.300000,0.953939,0.650000,0.21964430,8.612936655236e-22
0.300000,0.953939,0.675000,0.28346033,8.612936655236e-22
0.300000,0.953939,0.700000,0.35260829,8.612936655236e-22
0.300000,0.953939,0.725000,0.42538552,8.612936655236e-22
0.300000,0.953939,0.750000,0.50000000,8.612936655236e-22
0.300000,0.953939,0.775000,0.57461448,8.612936655236e-22
0.300000,0.953939,0.800000,0.64739171,8.612936655236e-22
0.300000,0.953939,0.825000,0.71653967,8.612936655236e-22
0.300000,0.953939,0.850000,0.78035570,8.612936655236e-22
0.300000,0.953939,0.875000,0.83726844,8.612936655236e-22
0.300000,0.953939,0.900000,0.88587651,8.612936655236e-22
0.300000,0.953939,0.925000,0.92498303,8.612936655236e-22
0.300000,0.953939,0.950000,0.95362505,8.612936655236e-22
0.300000,0.953939,0.975000,0.97109731,8.612936655236e-22
0.300000,0.953939,1.000000,0.97696960,8.612936655236e-22
0.350000,0.936750,0.000000,0.96837485,1.004842609778e-21
0.350000,0.936750,0.025000,0.96260838,1.004842609778e-21
0.350000,0.936750,0.050000,0.94545095,1.004842609778e-21
0.350000,0.936750,0.075000,0.91732505,1.004842609778e-21
0.350000,0.936750,0.100000,0.87892321,1.004842609778e-21
0.350000,0.936750,0.125000,0.83119103,1.004842609778e-21
0.350000,0.936750,0.150000,0.77530383,1.004842609778e-21
0.350000,0.936750,0.175000,0.71263773,1.004842609778e-21
0.350000,0.936750,0.200000,0.64473579,1.004842609778e-21
0.350000,0.936750,0.225000,0.57326997,1.004842609778e-21
0.350000,0.936750,0.250000,0.50000000,1.004842609778e-21
0.350000,0.936750,0.275000,0.42673003,1.004842609778e-21
0.350000,0.936750,0.300000,0.35526421,1.004842609778e-21
0.350000,0.936750,0.325000,0.28736227,1.004842609778e-21
0.350000,0.936750,0.350000,0.22469617,1.004842609778e-21
0.350000,0.936750,0.375000,0.16880897,1.004842609778e-21
0.350000,0.936750,0.400000,0.12107679,1.004842609778e-21
