x,y,rho
-22.25,-17.75,1.480209245625e-24
-22.25,-17.25,1.9140931728672e-24
-22.25,-16.75,2.475813232964e-24
-22.25,-16.25,3.229974778423e-24
-22.25,-15.75,4.2962374293208e-24
-22.25,-15.25,5.8940928655632e-24
-22.25,-14.75,8.4524448253235e-24
-22.25,-14.25,1.2814895464244e-23
-22.25,-13.75,2.0509605788756e-23
-22.25,-13.25,3.4730067723356e-23
-22.25,-12.75,6.1650563907858e-23
-22.25,-12.25,1.1505006891419e-22
-22.25,-11.75,2.0870446114089e-22
-22.25,-11.25,4.0687227186409e-22
-22.25,-10.75,8.5374953484709e-22
-22.25,-10.25,1.9084714312319e-21
-22.25,-9.75,4.2258118448849e-21
-22.25,-9.25,1.0313864414236e-20
-22.25,-8.75,2.9662982525999e-20
-22.25,-8.25,4.7709641796052e-20
-22.25,-7.75,6.1202503957758e-20
-22.25,-7.25,9.7337263536042e-19
-22.25,-6.75,4.6377450133657e-18
-22.25,-6.25,9.2302193901713e-18
-22.25,-5.75,5.0940023012207e-17
-22.25,-5.25,4.0373080174545e-16
-22.25,-4.75,1.8011644447125e-15
-22.25,-4.25,5.8793745980544e-15
-22.25,-3.75,1.693225310707e-14
-22.25,-3.25,4.6079355702829e-14
-22.25,-2.75,1.1181526013304e-13
-22.25,-2.25,2.2917268671669e-13
-22.25,-1.75,4.0369829642176e-13
-22.25,-1.25,5.2572800835013e-13
-22.25,-0.75,5.1247442033913e-13
-22.25,-0.25,8.5043711352306e-13
-22.25,0.25,8.5043711355713e-13
-22.25,0.75,5.1247442032207e-13
-22.25,1.25,5.2572800833274e-13
-22.25,1.75,4.036982964225e-13
-22.25,2.25,2.291726867095e-13
-22.25,2.75,1.118152601273e-13
-22.25,3.25,4.6079355699293e-14
-22.25,3.75,1.6932253108449e-14
-22.25,4.25,5.8793745979044e-15
-22.25,4.75,1.8011644432086e-15
-22.25,5.25,4.0373080118578e-16
-22.25,5.75,5.0940022787087e-17
-22.25,6.25,9.2302193293724e-18
-22.25,6.75,4.6377449973888e-18
-22.25,7.25,9.7337265775439e-19
-22.25,7.75,6.120250391457e-20
-22.25,8.25,4.7709642402324e-20
-22.25,8.75,2.9662983614836e-20
-22.25,9.25,1.0313863968145e-20
-22.25,9.75,4.2258111602062e-21
-22.25,10.25,1.9084723755591e-21
-22.25,10.75,8.5374873816835e-22
-22.25,11.25,4.0687268468051e-22
-22.25,11.75,2.087040334607e-22
-22.25,12.25,1.1505042136002e-22
-22.25,12.75,6.1650411533791e-23
-22.25,13.25,3.4730130489946e-23
-22.25,13.75,2.0509595920115e-23
-22.25,14.25,1.2814901592598e-23
-22.25,14.75,8.452412486189e-24
-22.25,15.25,5.8941142532005e-24
-22.25,15.75,4.2962360561456e-24
-22.25,16.25,3.2300383928058e-24
-22.25,16.75,2.4757906069892e-24
-22.25,17.25,1.9140600686648e-24
-22.25,17.75,1.4802118905718e-24
-22.25,18.25,1.1385003683863e-24
-22.25,18.75,8.671542070091e-25
-22.25,19.25,6.5149165387635e-25
-22.25,19.75,4.806320886494e-25
-22.25,20.25,3.4622450512684e-25
-22.25,20.75,2.4156067323306e-25
-22.25,21.25,1.6127328981811e-25
-22.25,21.75,1.0103959391249e-25
-22.25,22.25,5.7385728921443e-26
-22.25,22.75,2.7546030252676e-26
-22.25,23.25,9.3235453054178e-27
-22.25,23.75,9.6619910098894e-28
-21.75,-23.75,1.02561773426e-27
-21.75,-23.25,9.9155954477645e-27
-21.75,-22.75,2.9320573714877e-26
-21.75,-22.25,6.1120295059169e-26
-21.75,-21.75,1.0765177504933e-25
-21.75,-21.25,1.7187211231108e-25
-21.75,-20.75,2.574486271474e-25
-21.75,-20.25,3.6897264368247e-25
-21.75,-19.75,5.1211759314594e-25
-21.75,-19.25,6.9393791209838e-25
-21.75,-18.75,9.2327397262955e-25
-21.75,-18.25,1.2116163679694e-24
-21.75,-17.75,1.574875828777e-24
-21.75,-17.25,2.0371347090426e-24
-21.75,-16.75,2.6394859662003e-24
-21.75,-16.25,3.4583618638636e-24
-21.75,-15.75,4.6387219850214e-24
-21.75,-15.25,6.4517967931865e-24
-21.75,-14.75,9.4347077393161e-24
-21.75,-14.25,1.464964038638e-23
-21.75,-13.75,2.4037916483069e-23
-21.75,-13.25,4.1661506416529e-23
-21.75,-12.75,7.5450687591454e-23
-21.75,-12.25,1.4338462607376e-22
-21.75,-11.75,2.6428509747557e-22
-21.75,-11.25,5.2223786858812e-22
-21.75,-10.75,1.1065598888896e-21
-21.75,-10.25,2.4881233596239e-21
-21.75,-9.75,5.542321858513e-21
-21.75,-9.25,1.3613608509021e-20
-21.75,-8.75,3.9058463379183e-20
-21.75,-8.25,6.3347645402279e-20
-21.75,-7.75,8.6354859650957e-20
-21.75,-7.25,1.2773984459724e-18
-21.75,-6.75,5.8674426992777e-18
-21.75,-6.25,1.1118286858816e-17
-21.75,-5.75,6.3558053838732e-17
-21.75,-5.25,5.0871943995618e-16
-21.75,-4.75,2.2575083936338e-15
-21.75,-4.25,7.3200889280269e-15
-21.75,-3.75,2.1059683474217e-14
-21.75,-3.25,5.741869462941e-14
