x,rho
-13.70117188,1.8251061246179e-11
-13.68164062,2.047647656269e-11
-13.66210938,2.2966801576867e-11
-13.64257812,2.5752772519268e-11
-13.62304688,2.8868595060744e-11
-13.60351562,3.2352324460805e-11
-13.58398438,3.6246286100386e-11
-13.56445312,4.0597540346104e-11
-13.54492188,4.5458396651423e-11
-13.52539062,5.0886981393457e-11
-13.50585938,5.6947865216117e-11
-13.48632812,6.3712755956759e-11
-13.46679688,7.1261263410426e-11
-13.44726562,7.9681743450617e-11
-13.42773438,8.9072229271833e-11
-13.40820312,9.9541458396064e-11
-13.38867188,1.1121000506949e-10
-13.36914062,1.2421152831665e-10
-13.34960938,1.3869414704239e-10
-13.33007812,1.5482195467948e-10
-13.31054688,1.7277668702401e-10
-13.29101562,1.9275955800694e-10
-13.27148438,2.1499327979624e-10
-13.25195312,2.3972428501201e-10
-13.23242188,2.6722517036104e-10
-13.21289062,2.9779738303755e-10
-13.19335938,3.3177417273647e-10
-13.17382812,3.6952383513796e-10
-13.15429688,4.1145327357801e-10
-13.13476562,4.5801190957328e-10
-13.11523438,5.0969597459976e-10
-13.09570312,5.6705321892123e-10
-13.07617188,6.3068807598056e-10
-13.05664062,7.0126732519879e-10
-13.03710938,7.795262983417e-10
-13.01757812,8.6627568060631e-10
-12.99804688,9.6240895899642e-10
-12.97851562,1.0689105798001e-09
-12.95898438,1.1868648766212e-09
-12.93945312,1.3174658405199e-09
-12.91992188,1.4620278080186e-09
-12.90039062,1.6219971479233e-09
-12.88085938,1.7989650378165e-09
-12.86132812,1.9946814257559e-09
-12.84179688,2.2110702836917e-09
-12.82226562,2.4502462639652e-09
-12.80273438,2.7145328848456e-09
-12.78320312,3.0064823767829e-09
-12.76367188,3.3288973342221e-09
-12.74414062,3.6848543300857e-09
-12.72460938,4.0777296613435e-09
-12.70507812,4.5112274084263e-09
-12.68554688,4.9894100077702e-09
-12.66601562,5.5167315485678e-09
-12.64648438,6.0980740265115e-09
-12.62695312,6.7387868043377e-09
-12.60742188,7.4447295444097e-09
-12.58789062,8.2223189073956e-09
-12.56835938,9.0785793294106e-09
-12.54882812,1.002119821119e-08
-12.52929688,1.1058585887211e-08
-12.50976562,1.2199940764263e-08
-12.49023438,1.3455320050295e-08
-12.47070312,1.4835716528351e-08
-12.45117188,1.6353141863634e-08
-12.43164062,1.8020716967848e-08
-12.41210938,1.9852769984487e-08
-12.39257812,2.1864942503282e-08
-12.37304688,2.4074304655473e-08
-12.35351562,2.6499479783183e-08
-12.33398438,2.9160779443845e-08
-12.31445312,3.2080349543328e-08
-12.29492188,3.5282328471997e-08
-12.27539062,3.8793018159563e-08
-12.25585938,4.264106904686e-08
-12.23632812,4.6857680036998e-08
-12.21679688,5.1476814555582e-08
-12.19726562,5.653543394647e-08
-12.17773438,6.2073749499538e-08
-12.15820312,6.8135494503863e-08
-12.13867188,7.4768217811765e-08
-12.11914062,8.2023600506274e-08
-12.09960938,8.9957797371318e-08
-12.08007812,9.8631804963708e-08
-12.06054688,1.0811185824278e-07
-12.04101562,1.1846985779416e-07
-12.02148438,1.2978382986181e-07
-12.00195312,1.4213842152822e-07
