sin_theta,intensity_norm
-0.01334,0.19953286525641
-0.01333,0.19531901498839
-0.01332,0.19113327754408
-0.01331,0.18697636220364
-0.0133,0.18284897415515
-0.01329,0.17875181437864
-0.01328,0.17468557953073
-0.01327,0.1706509618298
-0.01326,0.16664864894188
-0.01325,0.16267932386717
-0.01324,0.15874366482715
-0.01323,0.15484234515252
-0.01322,0.15097603317169
-0.01321,0.14714539210014
-0.0132,0.14335107993039
-0.01319,0.13959374932283
-0.01318,0.13587404749729
-0.01317,0.1321926161254
-0.01316,0.12855009122376
-0.01315,0.12494710304801
-0.01314,0.12138427598765
-0.01313,0.11786222846178
-0.01312,0.11438157281574
-0.01311,0.11094291521865
-0.0131,0.10754685556181
-0.01309,0.1041939873581
-0.01308,0.10088489764236
-0.01307,0.097620166872632
-0.01306,0.094400368832493
-0.01305,0.091226070534346
-0.01304,0.088097832123742
-0.01303,0.085016206784728
-0.01302,0.081981740646259
-0.01301,0.078994972689677
-0.013,0.07605643465727
-0.01299,0.073166650961926
-0.01298,0.070326138597914
-0.01297,0.067535407052786
-0.01296,0.064794958220427
-0.01295,0.062105286315262
-0.01294,0.059466877787643
-0.01293,0.056880211240417
-0.01292,0.054345757346706
-0.01291,0.051863978768898
-0.0129,0.049435330078872
-0.01289,0.047060257679469
-0.01288,0.044739199727216
-0.01287,0.042472586056327
-0.01286,0.040260838103993
-0.01285,0.038104368836957
-0.01284,0.036003582679411
-0.01283,0.033958875442216
-0.01282,0.031970634253448
-0.01281,0.030039237490302
-0.0128,0.028165054712353
-0.01279,0.026348446596182
-0.01278,0.024589764871396
-0.01277,0.022889352258032
-0.01276,0.02124754240537
-0.01275,0.019664659832166
-0.01274,0.018141019868303
-0.01273,0.016676928597888
-0.01272,0.015272682803791
-0.01271,0.013928569913641
-0.0127,0.012644867947292
-0.01269,0.011421845465761
-0.01268,0.010259761521656
-0.01267,0.0091588656110976
-0.01266,0.0081193976271409
-0.01265,0.0071415878147113
-0.01264,0.0062256567270625
-0.01263,0.0053718151837604
-0.01262,0.0045802642302019
-0.01261,0.0038511950986818
-0.0126,0.0031847891710054
-0.01259,0.002581217942664
-0.01258,0.0020406429885712
-0.01257,0.0015632159303739
-0.01256,0.0011490784053394
