x,rho
-9.552,6.14105419041e-21
-9.54,6.88639977664e-21
-9.528,7.72109674739e-21
-9.516,8.65572039465e-21
-9.504,9.7020812046e-21
-9.492,1.08733671619e-20
-9.48,1.21843022166e-20
-9.468,1.36513227223e-20
-9.456,1.52927738534e-20
-9.444,1.71291282308e-20
-9.432,1.91832292289e-20
-9.42,2.148056171e-20
-9.408,2.40495532302e-20
-9.396,2.69219090966e-20
-9.384,3.01329850223e-20
-9.372,3.37222015339e-20
-9.36,3.773350474e-20
-9.348,4.22158785687e-20
-9.336,4.72239141342e-20
-9.324,5.28184425091e-20
-9.312,5.9067237854e-20
-9.3,6.60457986074e-20
-9.288,7.38382152701e-20
-9.276,8.25381342329e-20
-9.264,9.22498281153e-20
-9.252,1.030893842e-19
-9.24,1.15186023794e-19
-9.228,1.28683566712e-19
-9.216,1.43742056593e-19
-9.204,1.6053956445e-19
-9.192,1.79274189661e-19
-9.18,2.00166279709e-19
-9.168,2.23460892177e-19
-9.156,2.49430525042e-19
-9.144,2.78378144011e-19
-9.132,3.10640538727e-19
-9.12,3.46592042983e-19
-9.108,3.86648657791e-19
-9.096,4.31272620227e-19
-9.084,4.80977465468e-19
-9.072,5.36333634402e-19
-9.06,5.97974684636e-19
-9.048,6.66604168794e-19
-9.036,7.43003250597e-19
-9.024,8.28039136581e-19
-9.012,9.2267440935e-19
-9,1.02797735717e-18
-8.988,1.14513340449e-18
-8.976,1.2754577588e-18
-8.964,1.42040940109e-18
-8.952,1.5816065602e-18
-8.94,1.7608438259e-18
-8.928,1.96011107134e-18
-8.916,2.18161437273e-18
-8.904,2.42779913378e-18
-8.892,2.70137564305e-18
-8.88,3.00534731604e-18
-8.868,3.34304189892e-18
-8.856,3.71814593953e-18
-8.844,4.13474286149e-18
-8.832,4.59735501181e-18
-8.82,5.11099008928e-18
-8.808,5.68119240233e-18
-8.796,6.31409944977e-18
-8.784,7.01650436763e-18
-8.772,7.79592483946e-18
-8.76,8.66067912749e-18
-8.748,9.61996994727e-18
-8.736,1.06839769807e-17
-8.724,1.18639589014e-17
-8.712,1.31723658728e-17
-8.7,1.4622963575e-17
-8.688,1.62309699202e-17
-8.676,1.80132057321e-17
-8.664,1.99882607893e-17
-8.652,2.21766767704e-17
-8.64,2.46011487915e-17
-8.628,2.72867473887e-17
-8.616,3.02611629846e-17
-8.604,3.35549750713e-17
-8.592,3.7201948565e-17
-8.58,4.12393600237e-17
-8.568,4.57083566794e-17
-8.556,5.06543515281e-17
-8.544,5.61274580272e-17
-8.532,6.21829682989e-17
-8.52,6.88818791112e-17
-8.508,7.62914703198e-17
-8.496,8.44859409042e-17
-8.484,9.35471082241e-17
-8.472,1.03565176659e-16
-8.46,1.14639582387e-16
-8.448,1.2687992169e-16
-8.436,1.40406970906e-16
-8.424,1.55353806875e-16
-8.412,1.71867037605e-16
-8.4,1.90108153791e-16
-8.388,2.10255012806e-16
-8.376,2.32503467917e-16
-8.364,2.57069156642e-16
-8.352,2.84189463487e-16
-8.34,3.14125673744e-16
-8.328,3.47165336554e-16
-8.316,3.83624857195e-16
-8.304,4.23852340351e-16
-8.292,4.682307082e-16
-8.28,5.17181119333e-16
-8.268,5.71166716953e-16
-8.256,6.30696737409e-16
-8.244,6.96331013015e-16
-8.232,7.68684906211e-16
-8.22,8.48434715539e-16
-8.208,9.36323597626e-16
-8.196,1.0331680534e-15
-8.184,1.13986503119e-15
-8.172,1.25739970418e-15
-8.16,1.38685398484e-15
-8.148,1.52941584479e-15
-8.136,1.68638951457e-15
-8.124,1.85920664485e-15
-8.112,2.04943851745e-15
-8.1,2.25880940315e-15
-8.088,2.48921117154e-15
-8.076,2.74271926763e-15
-8.064,3.02161018066e-15
-8.052,3.32838054111e-15
-8.04,3.66576799459e-15
-8.028,4.0367740144e-15
-8.016,4.44468882862e-15
-8.004,4.89311865375e-15
-7.992,5.38601544339e-15
-7.98,5.92770937929e-15
-7.968,6.52294435182e-15
-7.956,7.1769166989e-15
-7.944,7.8953174959e-15
-7.932,8.68437871481e-15
-7.92,9.55092359855e-15
-7.908,1.05024216269e-14
-7.896,1.15470484829e-14
-7.884,1.26937514643e-14
-7.872,1.39523208235e-14
-7.86,1.53334675602e-14
-7.848,1.68489082381e-14
-7.836,1.85114574445e-14
-7.824,2.03351285653e-14
-7.812,2.2335243607e-14
-7.8,2.4528552857e-14
-7.788,2.69333652452e-14
-7.776,2.95696903399e-14
-7.764,3.24593929913e-14
-7.752,3.56263617246e-14
-7.74,3.90966920733e-14
-7.728,4.28988861491e-14
-7.716,4.70640698498e-14
-7.704,5.16262292278e-14
-7.692,5.66224676679e-14
-7.68,6.20932856618e-14
-7.668,6.80828851173e-14
-7.656,7.46395002993e-14
-7.644,8.18157576779e-14
-7.632,8.96690671447e-14
-7.62,9.8262047265e-14
-7.608,1.07662987453e-13
-7.596,1.17946350194e-13
-7.584,1.29193316703e-13
-7.572,1.41492379669e-13
-7.56,1.54939987063e-13
-7.548,1.69641241277e-13
-7.536,1.8571065825e-13
-7.524,2.03272991574e-13
-7.512,2.22464127014e-13
-7.5,2.43432053303e-13
-7.488,2.66337915533e-13
-7.476,2.91357158009e-13
-7.464,3.18680763939e-13
-7.452,3.48516599975e-13
-7.44,3.81090874222e-13
-7.428,4.16649717044e-13
-7.416,4.55460894729e-13
-7.404,4.97815666895e-13
-7.392,5.4403079935e-13
-7.38,5.94450745085e-13
-7.368,6.49450007048e-13
-7.356,7.09435697457e-13
-7.344,7.74850309531e-13
-7.332,8.46174718816e-13
-7.32,9.23931432564e-13
-7.308,1.00868810714e-12
-7.296,1.10106135492e-12
-7.284,1.20172086384e-12
-7.272,1.31139385463e-12
-7.26,1.43086990247e-12
-7.248,1.56100615221e-12
-7.236,1.70273295826e-12
-7.224,1.85705998272e-12
-7.212,2.02508278808e-12
-7.2,2.20798996314e-12
-7.188,2.40707082442e-12
-7.176,2.62372373789e-12
-7.164,2.8594651096e-12
-7.152,3.11593909749e-12
-7.14,3.39492810048e-12
-7.128,3.69836408513e-12
-7.116,4.02834081491e-12
-7.104,4.38712705173e-12
-7.092,4.77718080483e-12
-7.08,5.20116470753e-12
-7.068,5.66196260847e-12
-7.056,6.16269747034e-12
-7.044,6.70675067598e-12
-7.032,7.29778284912e-12
-7.02,7.93975630501e-12
-7.008,8.63695925441e-12
-6.996,9.3940318938e-12
-6.984,1.02159945242e-11
-6.972,1.1108277851e-11
-6.96,1.20767556296e-11
-6.948,1.31277798313e-11
-6.936,1.42682185193e-11
-6.924,1.55054966358e-11
-6.912,1.68476399171e-11
-6.9,1.83033221702e-11
-6.888,1.98819161565e-11
-6.876,2.15935483532e-11
-6.864,2.34491578748e-11
-6.852,2.54605598612e-11
-6.84,2.76405136617e-11
-6.828,3.00027961622e-11
-6.816,3.2562280634e-11
-6.804,3.53350215042e-11
-6.792,3.83383454771e-11
-6.78,4.15909494677e-11
-6.768,4.51130058382e-11
-6.756,4.89262754641e-11
-6.744,5.30542291906e-11
-6.732,5.7522178284e-11
-6.72,6.23574145166e-11
-6.708,6.75893605754e-11
-6.696,7.32497315265e-11
-6.684,7.93727081205e-11
-6.672,8.59951227748e-11
-6.66,9.31566591288e-11
-6.648,1.00900066126e-10
-6.636,1.09271387644e-10
-6.624,1.18320208755e-10
-6.612,1.28099919787e-10
-6.6,1.38667999417e-10
-6.588,1.50086318121e-10
-6.576,1.6242146339e-10
-6.564,1.75745088213e-10
-6.552,1.90134284438e-10
-6.54,2.05671982702e-10
-6.528,2.22447380772e-10
-6.516,2.40556402222e-10
-6.504,2.6010218752e-10
-6.492,2.81195619722e-10
-6.48,3.03955887121e-10
-6.468,3.28511085354e-10
-6.456,3.54998861605e-10
-6.444,3.83567103765e-10
-6.432,4.14374677527e-10
-6.42,4.47592214641e-10
-6.408,4.83402955736e-10
-6.396,5.2200365132e-10
-6.384,5.63605524828e-10
-6.372,6.08435301815e-10
-6.36,6.56736309636e-10
-6.348,7.08769652267e-10
-6.336,7.64815465167e-10
-6.324,8.25174255421e-10
-6.312,8.90168332715e-10
-6.3,9.60143337031e-10
-6.288,1.03546986934e-09
-6.276,1.11654523194e-09
-6.264,1.20379528546e-09
-6.252,1.29767643006e-09
-6.24,1.3986777188e-09
-6.228,1.50732311147e-09
-6.216,1.624173878e-09
-6.204,1.74983116081e-09
-6.192,1.88493870615e-09
-6.18,2.0301857752e-09
-6.168,2.18631024599e-09
-6.156,2.35410191841e-09
-6.144,2.53440603468e-09
-6.132,2.7281270289e-09
-6.12,2.93623251982e-09
-6.108,3.15975756191e-09
-6.096,3.39980917056e-09
-6.084,3.65757113844e-09
-6.072,3.93430916072e-09
-6.06,4.23137628804e-09
-6.048,4.5502187273e-09
-6.036,4.89238201122e-09
-6.024,5.2595175591e-09
-6.012,5.65338965238e-09
-6,6.07588284982e-09
-5.988,6.52900986883e-09
-5.976,7.01491996062e-09
-5.964,7.53590780866e-09
-5.952,8.09442298154e-09
