x,rho
-14.09179688,3.5817637367979e-16
-14.07226562,4.140791807076e-16
-14.05273438,4.7856107025719e-16
-14.03320312,5.5291549193793e-16
-14.01367188,6.3862755853172e-16
-13.99414062,7.3740149535447e-16
-13.97460938,8.5119257275707e-16
-13.95507812,9.8224323017812e-16
-13.93554688,1.1331250108306e-15
-13.91601562,1.3067846126384e-15
-13.89648438,1.5065990133297e-15
-13.87695312,1.7364361087754e-15
-13.85742188,2.0007249596176e-15
-13.83789062,2.3045357153241e-15
-13.81835938,2.6536702346649e-15
-13.79882812,3.0547658008854e-15
-13.77929688,3.515413237451e-15
-13.75976562,4.0442899194028e-15
-13.74023438,4.6513140018744e-15
-13.72070312,5.3478165624533e-15
-13.70117188,6.1467392686177e-15
-13.68164062,7.0628592576234e-15
-13.66210938,8.1130430517587e-15
-13.64257812,9.3165359849418e-15
-13.62304688,1.0695291457494e-14
-13.60351562,1.2274342524031e-14
-13.58398438,1.408222640999e-14
-13.56445312,1.6151463098897e-14
-13.54492188,1.8519100014761e-14
-13.52539062,2.1227328865764e-14
-13.50585938,2.4324183835008e-14
-13.48632812,2.7864334873283e-14
-13.46679688,3.1909981304247e-14
-13.44726562,3.6531867025991e-14
-13.42773438,4.1810432949299e-14
-13.40820312,4.7837108448532e-14
-13.38867188,5.4715784972445e-14
-13.36914062,6.2564477236648e-14
-13.34960938,7.151719344139e-14
-13.33007812,8.1726062635704e-14
-13.31054688,9.3363720167483e-14
-13.29101562,1.0662601684681e-13
-13.27148438,1.2173506350455e-13
-13.25195312,1.3894267429205e-13
-13.23242188,1.5853424295506e-13
-13.21289062,1.8083312011959e-13
-13.19335938,2.0620554133536e-13
-13.17382812,2.3506618134104e-13
-13.15429688,2.6788440820269e-13
-13.13476562,3.0519132483447e-13
-13.11523438,3.4758769817651e-13
-13.09570312,3.9575287018361e-13
-13.07617188,4.5045479386265e-13
-13.05664062,5.1256130371145e-13
-13.03710938,5.8305279669671e-13
-13.01757812,6.6303646712465e-13
-12.99804688,7.537622970844e-13
-12.97851562,8.5664102310343e-13
-12.95898438,9.7326429552682e-13
-12.93945312,1.1054272782253e-12
-12.91992188,1.2551540413933e-12
-12.90039062,1.4247259755182e-12
-12.88085938,1.6167137075452e-12
-12.86132812,1.8340128011984e-12
-12.84179688,2.079883779557e-12
-12.82226562,2.357996940937e-12
-12.80273438,2.6724825059798e-12
-12.78320312,3.027986736434e-12
-12.76367188,3.4297347130103e-12
-12.74414062,3.8836005531348e-12
-12.72460938,4.3961858378439e-12
-12.70507812,4.9749073322022e-12
-12.68554688,5.6280948988751e-12
-12.66601562,6.3651008909703e-12
-12.64648438,7.1964222238779e-12
-12.62695312,8.1338366110547e-12
-12.60742188,9.1905545257762e-12
-12.58789062,1.0381388686425e-11
-12.56835938,1.1722942934422e-11
-12.54882812,1.3233822775951e-11
-12.52929688,1.4934869814179e-11
-12.50976562,1.6849422968807e-11
-12.49023438,1.900360903947e-11
-12.47070312,2.1426666302052e-11
-12.45117188,2.4151304207609e-11
-12.43164062,2.7214103660726e-11
-12.41210938,3.0655961706e-11
-12.39257812,3.4522585909412e-11
-12.37304688,3.8865043387478e-11
-12.35351562,4.3740370627749e-11
-12.33398438,4.9212250300414e-11
-12.31445312,5.5351762437991e-11
-12.29492188,6.2238217638462e-11
-12.27539062,6.9960081053983e-11
-12.25585938,7.861599673846e-11
-12.23632812,8.8315922518402e-11
-12.21679688,9.9182387505768e-11
-12.19726562,1.1135188438895e-10
-12.17773438,1.2497641057151e-10
-12.15820312,1.4022517395402e-10
-12.13867188,1.5728647933551e-10
-12.11914062,1.7636981495531e-10
-12.09960938,1.9770815847117e-10
-12.08007812,2.2156052548131e-10
-12.06054688,2.4821478443774e-10
-12.04101562,2.7799076525741e-10
-12.02148438,3.1124369042267e-10
-12.00195312,3.4836796131997e-10
-11.98242188,3.8980133462409e-10
-11.96289062,4.3602952759847e-10
-11.94335938,4.8759129421276e-10
-11.92382812,5.4508401862895e-10
-11.90429688,6.0916987632417e-10
-11.88476562,6.8058261814152e-10
-11.86523438,7.6013503691238e-10
-11.84570312,8.4872718422167e-10
-11.82617188,9.4735540678426e-10
-11.80664062,1.0571222830555e-09
-11.78710938,1.179247544455e-09
-11.76757812,1.3150800745314e-09
-11.74804688,1.4661110886055e-09
-11.72851562,1.6339886035473e-09
-11.70898438,1.8205333189574e-09
-11.68945312,2.0277560417225e-09
-11.66992188,2.2578767954159e-09
-11.65039062,2.5133457711736e-09
-11.63085938,2.7968662884413e-09
-11.61132812,3.1114199498854e-09
-11.59179688,3.4602941903675e-09
-11.57226562,3.8471124345544e-09
-11.55273438,4.2758671006211e-09
-11.53320312,4.7509557060498e-09
-11.51367188,5.2772203489905e-09
-11.49414062,5.859990867778e-09
-11.47460938,6.5051320046912e-09
-11.45507812,7.2190949231699e-09
-11.43554688,8.0089734631054e-09
-11.41601562,8.882565544928e-09
-11.39648438,9.848440169566e-09
-11.37695312,1.0916010499742e-08
-11.35742188,1.209561353837e-08
-11.33789062,1.3398596977298e-08
-11.31835938,1.483741381666e-08
-11.29882812,1.6425725416257e-08
-11.27929688,1.8178513692553e-08
-11.25976562,2.0112203217837e-08
-11.24023438,2.2244794053576e-08
-11.22070312,2.4596006203892e-08
-11.20117188,2.7187436650684e-08
-11.18164062,3.0042729994688e-08
-11.16210938,3.3187763818512e-08
-11.14257812,3.665084996211e-08
-11.12304688,4.0462952998152e-08
-11.10351562,4.4657927280024e-08
-11.08398438,4.9272774049587e-08
-11.06445312,5.4347920194583e-08
-11.04492188,5.992752036775e-08
-11.02539062,6.6059784286424e-08
-11.00585938,7.2797331198894e-08
-10.98632812,8.0197573596414e-08
-10.96679688,8.8323132460675e-08
-10.94726562,9.7242286422331e-08
-10.92773438,1.0702945745157e-07
-10.90820312,1.1776573582847e-07
-10.88867188,1.2953944735168e-07
-10.86914062,1.4244676595552e-07
-10.84960938,1.5659237509497e-07
-10.83007812,1.7209018153148e-07
-10.81054688,1.8906408533935e-07
-10.79101562,2.0764881025306e-07
-10.77148438,2.2799079873964e-07
-10.75195312,2.5024917642996e-07
-10.73242188,2.745967909212e-07
-10.71289062,3.0122133019375e-07
-10.69335938,3.3032652631088e-07
-10.67382812,3.621334503491e-07
-10.65429688,3.9688190496318e-07
-10.63476562,4.3483192130113e-07
-10.61523438,4.7626536748774e-07
-10.59570312,5.2148767625994e-07
-10.57617188,5.7082969987499e-07
-10.55664062,6.2464970082074e-07
-10.53710938,6.8333548743196e-07
-10.51757812,7.4730670402586e-07
-10.49804688,8.1701728573287e-07
-10.47851562,8.9295808879608e-07
-10.45898438,9.7565970771212e-07
-10.43945312,1.0656954912748e-06
-10.41992188,1.1636847702077e-06
-10.40039062,1.2702963098067e-06
-10.38085938,1.3862520017596e-06
-10.36132812,1.5123308100397e-06
-10.34179688,1.6493729866448e-06
-10.32226562,1.7982845736906e-06
-10.30273438,1.9600422093246e-06
-10.28320312,2.1356982557781e-06
-10.26367188,2.3263862688813e-06
-10.24414062,2.5333268291781e-06
-10.22460938,2.7578337560694e-06
-10.20507812,3.0013207271133e-06
-10.18554688,3.2653083260407e-06
-10.16601562,3.551431543894e-06
-10.14648438,3.861447758999e-06
-10.12695312,4.1972452226444e-06
-10.10742188,4.560852078592e-06
-10.08789062,4.9544459457125e-06
-10.06835938,5.380364094503e-06
-10.04882812,5.8411142494881e-06
-10.02929688,6.3393860508075e-06
-10.00976562,6.8780632099337e-06
-9.990234375,7.4602363955917e-06
-9.970703125,8.0892168877028e-06
-9.951171875,8.7685510385999e-06
-9.931640625,9.5020355819967e-06
-9.912109375,1.0293733832378e-05
-9.892578125,1.1147992818369e-05
-9.873046875,1.2069461395686e-05
-9.853515625,1.3063109386762e-05
-9.833984375,1.4134247795737e-05
-9.814453125,1.5288550149124e-05
-9.794921875,1.6532075014322e-05
-9.775390625,1.7871289749387e-05
-9.755859375,1.9313095539754e-05
-9.736328125,2.0864853778439e-05
-9.716796875,2.2534413848747e-05
-9.697265625,2.4330142369469e-05
-9.677734375,2.6260953964495e-05
-9.658203125,2.8336343620245e-05
-9.638671875,3.0566420695925e-05
-9.619140625,3.2961944652911e-05
-9.599609375,3.5534362571387e-05
-9.580078125,3.8295848523196e-05
-9.560546875,4.1259344871948e-05
-9.541015625,4.4438605571725e-05
-9.521484375,4.7848241537939e-05
-9.501953125,5.1503768163895e-05
-9.482421875,5.5421655058605e-05
-9.462890625,5.9619378081246e-05
-9.443359375,6.4115473749514e-05
-9.423828125,6.8929596098176e-05
-9.404296875,7.408257606648e-05
-9.384765625,7.9596483491343e-05
-9.365234375,8.5494691785063e-05
-9.345703125,9.1801945374822e-05
-9.326171875,9.8544429982082e-05
-9.306640625,0.00010574984581833
-9.287109375,0.00011344748377403
-9.267578125,0.00012166830467565
-9.248046875,0.00013044502168482
-9.228515625,0.00013981218591224
-9.208984375,0.00014980627531666
-9.189453125,0.00016046578695759
-9.169921875,0.00017183133266758
-9.150390625,0.00018394573820691
-9.130859375,0.00019685414596113
-9.111328125,0.0002106041212373
-9.091796875,0.00022524576221126
-9.072265625,0.00024083181357422
-9.052734375,0.00025741778392166
-9.033203125,0.00027506206692205
-9.013671875,0.00029382606629797
-8.994140625,0.00031377432464585
-8.974609375,0.00033497465611246
-8.955078125,0.00035749828294137
-8.935546875,0.00038141997589326
-8.916015625,0.00040681819853613
-8.896484375,0.00043377525539258
-8.876953125,0.0004623774439224
-8.857421875,0.00049271521030813
-8.837890625,0.00052488330900133
-8.818359375,0.00055898096597569
-8.798828125,0.00059511204562156
-8.779296875,0.00063338522120484
-8.759765625,0.00067391414879883
-8.740234375,0.0007168176445855
-8.720703125,0.00076221986540807
-8.701171875,0.00081025049244138
-8.681640625,0.00086104491783232
-8.662109375,0.0009147444341457
-8.642578125,0.00097149642643486
-8.623046875,0.0010314545667392
-8.603515625,0.0010947790107924
-8.583984375,0.0011616365967083
-8.564453125,0.0012322010453906
-8.544921875,0.001306653162395
-8.525390625,0.0013851810409516
-8.505859375,0.001467980265835
-8.486328125,0.0015552541177492
-8.466796875,0.0016472137778726
-8.447265625,0.0017440785321887
-8.427734375,0.0018460759752017
-8.408203125,0.0019534422126198
-8.388671875,0.0020664220625632
-8.369140625,0.002185269254829
-8.349609375,0.0023102466277286
-8.330078125,0.0024416263219839
-8.310546875,0.0025796899711484
-8.291015625,0.0027247288879978
-8.271484375,0.0028770442463081
-8.251953125,0.0030369472574191
-8.232421875,0.0032047593409589
-8.212890625,0.0033808122890801
-8.193359375,0.0035654484235401
-8.173828125,0.0037590207449331
-8.154296875,0.003961893073363
-8.134765625,0.0041744401798261
-8.115234375,0.0043970479075505
-8.095703125,0.0046301132825233
-8.076171875,0.0048740446124184
-8.056640625,0.0051292615731196
-8.037109375,0.0053961952820201
-8.017578125,0.0056752883572621
-7.998046875,0.005966994962073
-7.978515625,0.0062717808333339
-7.958984375,0.0065901232935178
-7.939453125,0.006922511245115
-7.919921875,0.0072694451466652
-7.900390625,0.0076314369695049
-7.880859375,0.0080090101343435
-7.861328125,0.0084026994267704
-7.841796875,0.0088130508908055
-7.822265625,0.0092406216996092
-7.802734375,0.009685980002466
-7.783203125,0.010149704747175
-7.763671875,0.010632385476984
-7.744140625,0.011134622101225
-7.724609375,0.011657024638815
-7.705078125,0.012200212933823
-7.685546875,0.012764816342305
-7.666015625,0.013351473389656
-7.646484375,0.013960831397738
-7.626953125,0.014593546081093
-7.607421875,0.015250281111568
-7.587890625,0.015931707650735
-7.568359375,0.016638503849503
-7.548828125,0.017371354314415
-7.529296875,0.018130949540098
-7.509765625,0.018917985307468
-7.490234375,0.019733162047281
-7.470703125,0.020577184168702
-7.451171875,0.021450759352662
-7.431640625,0.022354597809766
-7.412109375,0.023289411502648
-7.392578125,0.024255913332714
-7.373046875,0.025254816291287
-7.353515625,0.026286832575258
-7.333984375,0.027352672667409
-7.314453125,0.028453044381698
-7.294921875,0.029588651873821
-7.275390625,0.030760194617528
-7.255859375,0.031968366347196
-7.236328125,0.03321385396731
-7.216796875,0.034497336429556
-7.197265625,0.03581948357837
-7.177734375,0.037180954965856
-7.158203125,0.038582398637101
-7.138671875,0.040024449887021
-7.119140625,0.041507729989978
-7.099609375,0.043032844903502
-7.080078125,0.044600383947576
-7.060546875,0.046210918461035
-7.041015625,0.047865000436742
-7.021484375,0.049563161137317
-7.001953125,0.051305909693291
-6.982421875,0.053093731685675
-6.962890625,0.054927087715009
-6.943359375,0.056806411959126
-6.923828125,0.058732110721863
-6.904296875,0.060704560975167
-6.884765625,0.062724108897044
-6.865234375,0.064791068407947
-6.845703125,0.066905719708279
-6.826171875,0.069068307819752
-6.806640625,0.071279041133462
-6.787109375,0.073538089967592
-6.767578125,0.07584558513773
-6.748046875,0.078201616542877
-6.728515625,0.080606231770262
-6.708984375,0.083059434722148
-6.689453125,0.085561184267875
-6.669921875,0.088111392924405
-6.650390625,0.090709925568698
-6.630859375,0.093356598185271
-6.611328125,0.096051176652309
-6.591796875,0.098793375569723
-6.572265625,0.10158285713256
-6.552734375,0.10441923005313
-6.533203125,0.10730204853535
-6.513671875,0.11023081130447
-6.494140625,0.11320496069584
-6.474609375,0.11622388180566
-6.455078125,0.11928690170737
-6.435546875,0.12239328873658
-6.416015625,0.12554225184792
-6.396484375,0.1287329400467
-6.376953125,0.13196444189865
-6.357421875,0.13523578512029
-6.337890625,0.13854593625318
-6.318359375,0.14189380042428
-6.298828125,0.14527822119544
-6.279296875,0.14869798050419
-6.259765625,0.15215179869821
-6.240234375,0.15563833466578
-6.220703125,0.159156186064
-6.201171875,0.16270388964688
-6.181640625,0.16627992169473
-6.162109375,0.16988269854656
-6.142578125,0.17351057723669
-6.123046875,0.17716185623665
-6.103515625,0.18083477630341
-6.083984375,0.18452752143447
-6.064453125,0.18823821993048
-6.044921875,0.19196494556546
-6.025390625,0.19570571886482
-6.005859375,0.19945850849088
-5.986328125,0.20322123273551
-5.966796875,0.20699176111916
-5.947265625,0.21076791609546
-5.927734375,0.21454747486011
-5.908203125,0.21832817126282
-5.888671875,0.22210769782038
-5.869140625,0.22588370782932
-5.849609375,0.22965381757567
-5.830078125,0.23341560863961
-5.810546875,0.23716663029235
-5.791015625,0.24090440198229
-5.771484375,0.24462641590741
-5.751953125,0.24833013967048
-5.732421875,0.25201301901349
-5.712890625,0.25567248062753
-5.693359375,0.25930593503406
-5.673828125,0.26291077953322
-5.654296875,0.26648440121494
-5.634765625,0.27002418002795
-5.615234375,0.27352749190198
-5.595703125,0.27699171191807
-5.576171875,0.28041421752184
-5.556640625,0.28379239177424
-5.537109375,0.28712362663441
-5.517578125,0.29040532626893
-5.498046875,0.29363491038165
-5.478515625,0.29680981755828
-5.458984375,0.29992750861971
-5.439453125,0.30298546997799
-5.419921875,0.30598121698886
-5.400390625,0.30891229729454
-5.380859375,0.31177629415064
-5.361328125,0.3145708297308
-5.341796875,0.3172935684029
-5.322265625,0.3199422199704
-5.302734375,0.32251454287265
-5.283203125,0.32500834733793
-5.263671875,0.32742149848294
-5.244140625,0.32975191935269
-5.224609375,0.33199759389477
-5.205078125,0.3341565698619
-5.185546875,0.33622696163715
-5.166015625,0.33820695297586
-5.146484375,0.34009479965892
-5.126953125,0.34188883205176
-5.107421875,0.34358745756404
-5.087890625,0.34518916300472
-5.068359375,0.34669251682788
-5.048828125,0.3480961712644
-5.029296875,0.34939886433524
-5.009765625,0.35059942174199
-4.990234375,0.3516967586308
-4.970703125,0.35268988122596
-4.951171875,0.35357788832961
-4.931640625,0.35435997268458
-4.912109375,0.35503542219728
-4.892578125,0.35560362101824
-4.873046875,0.35606405047781
-4.853515625,0.35641628987521
-4.833984375,0.3566600171191
-4.814453125,0.35679500921844
-4.794921875,0.35682114262245
-4.775390625,0.35673839340907
-4.755859375,0.35654683732145
-4.736328125,0.35624664965244
-4.716796875,0.35583810497721
-4.697265625,0.35532157673478
-4.677734375,0.35469753665908
-4.658203125,0.35396655406108
-4.638671875,0.35312929496317
-4.619140625,0.3521865210879
-4.599609375,0.35113908870314
-4.580078125,0.34998794732603
-4.560546875,0.34873413828864
