x,V,rho
-25.72363281,0,5.1079050243663e-12
-25.70996094,0,5.42735946916e-12
-25.69628906,0,5.7657847592797e-12
-25.68261719,0,6.1248315012482e-12
-25.66894531,0,6.5066766076151e-12
-25.65527344,0,6.9107052388003e-12
-25.64160156,0,7.3402057942452e-12
-25.62792969,0,7.796521721142e-12
-25.61425781,0,8.2783111905615e-12
-25.60058594,0,8.7907672249155e-12
-25.58691406,0,9.3341912861487e-12
-25.57324219,0,9.9103706046501e-12
-25.55957031,0,1.0520130912288e-11
-25.54589844,0,1.1167880722989e-11
-25.53222656,0,1.1854794740998e-11
-25.51855469,0,1.2582795715318e-11
-25.50488281,0,1.3353391677107e-11
-25.49121094,0,1.4172246977044e-11
-25.47753906,0,1.5038749583756e-11
-25.46386719,0,1.5957044721117e-11
-25.45019531,0,1.6930771364026e-11
-25.43652344,0,1.7960465254336e-11
-25.42285156,0,1.9053536231407e-11
-25.40917969,0,2.0211273437019e-11
-25.39550781,0,2.1438141842362e-11
-25.38183594,0,2.2737803159997e-11
-25.36816406,0,2.4113128180691e-11
-25.35449219,0,2.5570974447435e-11
-25.34082031,0,2.7114485870432e-11
-25.32714844,0,2.8747342712276e-11
-25.31347656,0,3.0479843975169e-11
-25.29980469,0,3.2310640830324e-11
-25.28613281,0,3.4251616008215e-11
-25.27246094,0,3.6305091675371e-11
-25.25878906,0,3.8480245478932e-11
-25.24511719,0,4.078159426561e-11
-25.23144531,0,4.321785730741e-11
-25.21777344,0,4.5794723403585e-11
-25.20410156,0,4.8522511664049e-11
-25.19042969,0,5.1410523820589e-11
-25.17675781,0,5.4461835766053e-11
-25.16308594,0,5.7693351484408e-11
-25.14941406,0,6.1112682485267e-11
-25.13574219,0,6.4728806358e-11
-25.12207031,0,6.8557018025754e-11
-25.10839844,0,7.259981047538e-11
-25.09472656,0,7.6879135638459e-11
-25.08105469,0,8.1404182515045e-11
-25.06738281,0,8.618539491106e-11
-25.05371094,0,9.1246261313529e-11
-25.04003906,0,9.6594579121457e-11
-25.02636719,0,1.0225025523526e-10
-25.01269531,0,1.0822849160594e-10
-24.99902344,0,1.1454776710038e-10
-24.98535156,0,1.2122322653367e-10
-24.97167969,0,1.2828305796432e-10
-24.95800781,0,1.3574579971979e-10
-24.94433594,0,1.4362139794984e-10
-24.93066406,0,1.5195044609692e-10
-24.91699219,0,1.6074928157335e-10
-24.90332031,0,1.7004751973335e-10
-24.88964844,0,1.7986246863608e-10
-24.87597656,0,1.9024173168054e-10
-24.86230469,0,2.0119680893644e-10
-24.84863281,0,2.1276530444709e-10
-24.83496094,0,2.2498706539407e-10
-24.82128906,0,2.378878259776e-10
-24.80761719,0,2.5151215070421e-10
-24.79394531,0,2.6589516164865e-10
-24.78027344,0,2.8108616874856e-10
-24.76660156,0,2.9711725260013e-10
-24.75292969,0,3.1404579589976e-10
-24.73925781,0,3.3190582899956e-10
-24.72558594,0,3.5075832387853e-10
-24.71191406,0,3.7064894486317e-10
-24.69824219,0,3.9164772725511e-10
-24.68457031,0,4.1379905350619e-10
-24.67089844,0,4.3717374482321e-10
-24.65722656,0,4.6183157203971e-10
-24.64355469,0,4.8784316231393e-10
-24.62988281,0,5.1528482341777e-10
-24.61621094,0,5.442323942728e-10
-24.60253906,0,5.7475654871421e-10
-24.58886719,0,6.0694739093703e-10
-24.57519531,0,6.4089387420376e-10
-24.56152344,0,6.7668805675673e-10
-24.54785156,0,7.1442474543497e-10
-24.53417969,0,7.5422255745367e-10
-24.52050781,0,7.9616515796016e-10
-24.50683594,0,8.403957445831e-10
-24.49316406,0,8.8698961859551e-10
-24.47949219,0,9.3611730656653e-10
-24.46582031,0,9.8788389421135e-10
-24.45214844,0,1.0424346548622e-09
-24.43847656,0,1.0999144803423e-09
-24.42480469,0,1.1604778637712e-09
-24.41113281,0,1.2242959269997e-09
-24.39746094,0,1.2915186666236e-09
-24.38378906,0,1.3623298413534e-09
-24.37011719,0,1.4369142676984e-09
-24.35644531,0,1.5154690334837e-09
-24.34277344,0,1.5982027066446e-09
-24.32910156,0,1.685326037262e-09
-24.31542969,0,1.7770580224024e-09
-24.30175781,0,1.8736521010545e-09
-24.28808594,0,1.9753444525504e-09
-24.27441406,0,2.0823973497602e-09
-24.26074219,0,2.1950993772384e-09
-24.24707031,0,2.3137464125101e-09
-24.23339844,0,2.4385820867981e-09
-24.21972656,0,2.5699733361343e-09
-24.20605469,0,2.7082455233416e-09
-24.19238281,0,2.8537394972947e-09
-24.17871094,0,3.0068336595553e-09
-24.16503906,0,3.167904890524e-09
-24.15136719,0,3.337365727863e-09
-24.13769531,0,3.5155950261837e-09
-24.12402344,0,3.7030971716648e-09
-24.11035156,0,3.9003041396503e-09
-24.09667969,0,4.1076787785058e-09
-24.08300781,0,4.3257899798596e-09
-24.06933594,0,4.5551100893028e-09
-24.05566406,0,4.7962565732099e-09
-24.04199219,0,5.049781366546e-09
-24.02832031,0,5.3163194140345e-09
-24.01464844,0,5.5964794764451e-09
-24.00097656,0,5.8910014014606e-09
-23.98730469,0,6.2005452255512e-09
-23.97363281,0,6.5258470694242e-09
-23.95996094,0,6.8677311385335e-09
-23.94628906,0,7.2269609713163e-09
-23.93261719,0,7.6044089865398e-09
-23.91894531,0,8.0009717677394e-09
-23.90527344,0,8.4176315662233e-09
-23.89160156,0,8.8553124425822e-09
-23.87792969,0,9.3150262652365e-09
-23.86425781,0,9.7978991460157e-09
-23.85058594,0,1.0304983337892e-08
-23.83691406,0,1.0837559148023e-08
-23.82324219,0,1.1396759506747e-08
-23.80957031,0,1.1983970982886e-08
-23.79589844,0,1.2600477103266e-08
-23.78222656,0,1.3247701310414e-08
-23.76855469,0,1.3927120417754e-08
-23.75488281,0,1.4640298569495e-08
-23.74121094,0,1.5388897440548e-08
-23.72753906,0,1.6174470174473e-08
-23.71386719,0,1.6998933449725e-08
-23.70019531,0,1.7864067592521e-08
-23.68652344,0,1.8771821311e-08
-23.67285156,0,1.972425328085e-08
-23.65917969,0,2.0723474060113e-08
-23.64550781,0,2.1771608444153e-08
-23.63183594,0,2.287117669214e-08
-23.61816406,0,2.4024369125839e-08
-23.60449219,0,2.5233869330719e-08
-23.59082031,0,2.6502275681975e-08
-23.57714844,0,2.7832310298799e-08
-23.56347656,0,2.9226938277494e-08
-23.54980469,0,3.0689170038762e-08
-23.53613281,0,3.222222315197e-08
-23.52246094,0,3.382926532212e-08
-23.50878906,0,3.5513741654834e-08
-23.49511719,0,3.7279416146218e-08
-23.48144531,0,3.9129841762828e-08
-23.46777344,0,4.1069142293521e-08
-23.45410156,0,4.3101239851632e-08
-23.44042969,0,4.5230632836435e-08
-23.42675781,0,4.7461554851315e-08
-23.41308594,0,4.9798843082827e-08
-23.39941406,0,5.224732631784e-08
-23.38574219,0,5.481214914264e-08
-23.37207031,0,5.7498557775052e-08
-23.35839844,0,6.0312102082393e-08
-23.34472656,0,6.3258516649176e-08
-23.33105469,0,6.6344011733452e-08
-23.31738281,0,6.9574782000089e-08
-23.30371094,0,7.2957372093827e-08
-23.29003906,0,7.6498832725748e-08
-23.27636719,0,8.0206164831825e-08
-23.26269531,0,8.4086793168819e-08
-23.24902344,0,8.8148684259045e-08
-23.23535156,0,9.239993940987e-08
-23.22167969,0,9.6848757344162e-08
-23.20800781,0,1.0150434630986e-07
-23.19433594,0,1.0637570460514e-07
-23.18066406,0,1.1147266083787e-07
-23.16699219,0,1.1680503909162e-07
-23.15332031,0,1.2238331112763e-07
-23.13964844,0,1.2821843099546e-07
-23.12597656,0,1.3432165773122e-07
-23.11230469,0,1.4070504130932e-07
-23.09863281,0,1.4738060850582e-07
-23.08496094,0,1.543615215717e-07
-23.07128906,0,1.6166080013609e-07
